"" "" "LR.summary.stat" "LR.summary.p.val" "p" "adj.p"
"223" "NFE2L2" "SUMO2" "26.6219047606073" "7.06588510934747e-06" "0" "0"
"224" "E2F1" "UBA52" "26.5791291768767" "7.21322821684023e-06" "0" "0"
"225" "SOX6" "NFIX" "26.5137092509204" "7.44451950440705e-06" "0" "0"
"226" "BPTF" "CCNL1" "26.3177970566973" "8.18234786681415e-06" "0" "0"
"227" "HMGA1" "PIP4K2A" "26.1607612851717" "8.82607293528626e-06" "0" "0"
"228" "JUNB" "PIP4K2A" "26.160318639847" "8.82795701917516e-06" "0" "0"
"229" "CBX5" "RFXANK" "25.9770980749936" "9.6432917223721e-06" "0" "0"
"230" "MAZ" "SNRPD2" "25.907398261559" "9.97280894809993e-06" "0" "0"
"231" "IRF7" "NFIX" "25.8291241310885" "1.03562652874478e-05" "0" "0"
"232" "NFE2" "EMC3" "25.755751785397" "1.07290467910026e-05" "0" "0"
"233" "KLF1" "RPIA" "25.684245033914" "1.11052194171624e-05" "0" "0"
"234" "MXI1" "TIMM13" "25.5917476921981" "1.16113898944725e-05" "0" "0"
"235" "MAZ" "SIVA1" "25.5874502725435" "1.16354578296729e-05" "0" "0"
"236" "HDAC2" "CCT6A" "25.5488609209481" "1.18538208048191e-05" "0" "0"
"237" "BBX" "LPCAT3" "25.526537541517" "1.19820013270155e-05" "0" "0"
"238" "NFE2" "R3HDM4" "25.2700066035829" "1.35580185681716e-05" "0" "0"
"239" "NFE2" "EIF1B" "25.2554804919439" "1.36532029113567e-05" "0" "0"
"240" "USF2" "SH3BGRL3" "25.2273477223284" "1.38394456102864e-05" "0" "0"
"241" "KLF3" "MRPL51" "25.1358059691847" "1.44631742066137e-05" "0" "0"
"242" "KLF3" "MRPL2" "25.0591737046855" "1.50068132039882e-05" "0" "0"
"243" "NR3C1" "TRA2B" "24.969414053598" "1.5669539068619e-05" "0" "0"
"244" "GATA1" "CCNB2" "24.9040891469345" "1.61701262455516e-05" "0" "0"
"245" "KLF1" "TPRKB" "24.8430373849626" "1.66523705570354e-05" "0" "0"
"246" "ATF6B" "DNMT1" "24.7763396171059" "1.71956147396735e-05" "0" "0"
"247" "NFE2" "NFIX" "24.7246139862511" "1.76290467708284e-05" "0" "0"
"248" "DMC1" "HNRNPA3" "24.390171167091" "2.07066801347633e-05" "0" "0"
"249" "KLF3" "FUS" "24.31837229333" "2.14342483636498e-05" "0" "0"
"250" "MAZ" "NFIX" "24.2529820179738" "2.21190239514391e-05" "0" "0"
"251" "MLXIP" "PIP4K2A" "23.9932061210209" "2.50616936683379e-05" "0" "0"
"252" "KLF3" "NDUFB7" "23.8832118956787" "2.64223855790391e-05" "0" "0"
"253" "RAD21" "KRTCAP2" "23.8356001357924" "2.70339740707781e-05" "0" "0"
"254" "SP2" "EIF5A" "23.6446311361976" "2.96321258844712e-05" "0" "0"
"255" "ZBTB7A" "CDKN2D" "23.4759217607464" "3.21336692832297e-05" "0" "0"
"256" "CREB3L2" "SLC25A6" "23.1440405625093" "3.76852939705241e-05" "0" "0"
"257" "FOS" "PCGF5" "23.1399153878197" "3.77599966278064e-05" "0" "0"
"258" "CTCF" "CCNL1" "23.126774898196" "3.79989424671434e-05" "0" "0"
"259" "TCF3" "EIF3D" "23.0791649033694" "3.88773686698096e-05" "0" "0"
"260" "DMC1" "GTF3C6" "23.0753870072492" "3.8947933062139e-05" "0" "0"
"261" "NFE2" "RBM3" "22.441482357011" "5.27908368435082e-05" "0" "0"
"262" "KLF1" "EIF1" "22.4098424336055" "5.35977959545964e-05" "0" "0"
"263" "MXI1" "CDKN2D" "22.1364105721996" "6.11038025353228e-05" "0" "0"
"264" "TCF3" "VDAC3" "21.9499433030154" "6.68143455492265e-05" "0" "0"
"265" "XBP1" "SNRPD2" "21.7245074265501" "7.4432450282047e-05" "0" "0"
"266" "NR1H2" "RBMX" "21.242671730019" "9.37392401729742e-05" "0" "0"
"267" "NFE2L2" "R3HDM4" "21.2069385244001" "9.53554630365172e-05" "0" "0"
"268" "KLF1" "C9orf78" "21.1609282656677" "9.74774563179404e-05" "0" "0"
"269" "IRF9" "MKRN1" "21.1541465175628" "9.77941822311035e-05" "0" "0"
"270" "FOXJ2" "TRA2B" "20.8994339556715" "0.000110462015082358" "0" "0"
"271" "ATF7" "R3HDM4" "20.8479513886307" "0.000113214442933773" "0" "0"
"272" "FOXO3" "APEX1" "20.7922371108634" "0.00011627009959736" "0" "0"
"273" "FOXO3" "SNRPA1" "20.6305712273999" "0.000125609424485695" "0" "0"
"274" "KLF3" "TPRKB" "20.4285115467205" "0.000138338953604711" "0" "0"
"275" "SREBF1" "NASP" "20.4271240393773" "0.000138430662630307" "0" "0"
"276" "EP300" "UBE2B" "20.3793296484309" "0.000141626916795645" "0" "0"
"277" "GFI1B" "SH3BGRL3" "20.320948722332" "0.000145630990166401" "0" "0"
"278" "JUNB" "SNRPA1" "20.201217878748" "0.00015419875214584" "0" "0"
"279" "SP2" "SKP1" "20.1228656880569" "0.000160075291764539" "0" "0"
"280" "NFE2" "UBE2B" "19.975270051285" "0.000171757350278301" "0" "0"
"281" "HSF1" "C9orf78" "19.7117697946376" "0.000194762044943064" "0" "0"
"282" "NFIA" "R3HDM4" "19.6848289891552" "0.000197280339844785" "0" "0"
"283" "E2F2" "VDAC3" "19.6301522442675" "0.000202491315181796" "0" "0"
"284" "KLF1" "CDKN2D" "19.5759174088546" "0.000207795480305473" "0" "0"
"285" "KLF1" "FUS" "19.3243396588462" "0.000234265720287175" "0" "0"
"286" "KLF1" "CCT2" "19.2358826082584" "0.000244349096690244" "0" "0"
"287" "KLF3" "CCT2" "19.211062289314" "0.000247255205220509" "0" "0"
"288" "EP300" "NFIX" "18.8593338957389" "0.000292332167859732" "0" "0"
"289" "JUNB" "SRSF7" "18.6317228722085" "0.000325768690692452" "0" "0"
"290" "HSF1" "CCT6A" "18.5599211328727" "0.000337085969800643" "0" "0"
"291" "MAX" "UBA52" "18.1404701177594" "0.000411460440989053" "0" "0"
"292" "E2F2" "PCGF5" "18.0642818267274" "0.000426624252213514" "0" "0"
"293" "SOX6" "EIF5A" "17.5408927206454" "0.000546930766216258" "0" "0"
"294" "MYBL2" "IDH2" "17.4330941956905" "0.000575617061237876" "0" "0"
"295" "MXI1" "APEX1" "17.2032851784547" "0.000641860333286615" "0" "0"
"296" "MAX" "R3HDM4" "17.1792917039904" "0.000649199028660008" "0" "0"
"297" "MLXIP" "SUMO2" "17.0350152670012" "0.000695119464798388" "0" "0"
"298" "NFIX" "NME4" "17.0219559360237" "0.000699431983785526" "0" "0"
"299" "TCF3" "CDKN2D" "16.9835410816988" "0.00071227227170978" "0" "0"
"300" "MGA" "ERGIC3" "16.5479872743097" "0.00087530568906391" "0" "0"
"301" "E2F4" "SUMO2" "16.5277529129676" "0.000883721347771704" "0" "0"
"302" "NFIA" "LGALS3" "16.3301290234967" "0.000970259894323866" "0" "0"
"303" "GATA1" "BANF1" "16.0976413578112" "0.00108289311436005" "0" "0"
"304" "E2F2" "ERH" "16.0833776602469" "0.00109021154806177" "0" "0"
"305" "SOX6" "FUS" "16.0804614357273" "0.00109171384416273" "0" "0"
"306" "ZBTB7B" "CCT6A" "15.966213861765" "0.00115221468772575" "0" "0"
"307" "RFX3" "LSM5" "15.8802813896852" "0.00119990421145288" "0" "0"
"308" "TCF3" "LPCAT3" "15.8405208682128" "0.00122262812335894" "0" "0"
"309" "SP4" "DNMT1" "15.8107122562993" "0.00123994408683203" "0" "0"
"310" "CHD2" "NFIX" "15.6948603665686" "0.00130958597820607" "0" "0"
"311" "MYBL2" "VDAC3" "15.520664983368" "0.00142167253877246" "0" "0"
"312" "NFE2L2" "PCGF5" "15.4882170741264" "0.00144357951203045" "0" "0"
"313" "RXRA" "RBMX" "15.4575757329899" "0.00146457425498459" "0" "0"
"314" "FOXJ2" "GTF3C6" "15.4243600757975" "0.00148767526249138" "0" "0"
"315" "NR3C1" "RPIA" "15.3896136560506" "0.00151222794930739" "0" "0"
"316" "CREM" "GAR1" "15.3678055343287" "0.00152784308566334" "0" "0"
"317" "ZBTB7B" "PIP4K2A" "15.299948987291" "0.00157746079353527" "0" "0"
"318" "ZFX" "LSM5" "15.0939267583175" "0.00173811605873153" "0" "0"
"319" "NFIX" "EIF5A" "14.9253763690219" "0.00188154326041812" "0" "0"
"320" "MAZ" "SLBP" "14.8399311913331" "0.00195867605144495" "0" "0"
"321" "GFI1B" "TBCA" "14.8396605686359" "0.00195892526262198" "0" "0"
"322" "NFE2" "APEX1" "14.7662817867038" "0.00202767192497588" "0" "0"
"323" "SOX6" "PIGC" "14.7482117255824" "0.00204496523829312" "0" "0"
"324" "KLF10" "RPS12" "14.7122491129028" "0.00207981840206306" "0" "0"
"325" "E2F4" "MRPL51" "14.6803310852929" "0.00211124483455294" "0" "0"
"326" "ID2" "RPS12" "14.6797701624484" "0.00211180130804511" "0" "0"
"327" "MYBL2" "SUMO2" "14.5708669068404" "0.00222264273085937" "0" "0"
"328" "BPTF" "RPS12" "14.4577910196299" "0.00234383688143625" "0" "0"
"329" "GFI1B" "CCT6A" "14.4481357618338" "0.00235448398868066" "0" "0"
"330" "TAL1" "ESD" "14.4354977472301" "0.00236849275175299" "0" "0"
"331" "GFI1B" "MKRN1" "14.4083204196784" "0.00239889833135043" "0" "0"
"332" "SOX6" "PIP4K2A" "14.2159786745909" "0.00262543338455468" "0" "0"
